Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000170027,YWHAG,0.9100972138238989,-0.8571532890019316,0.0005907501065848049,1.6487283685987701,0.8571532890019316,0.0005907501065848048
ENSG00000146700,SSC4D,0.0008011419135773758,-2.8144082758264357,1.595233146572269e-06,0.006418331096899884,2.8144082758264357,1.595233146572269e-06
ENSG00000188372,ZP3,0.009346655658402717,-1.1777307385611255,0.000498613385658391,0.021290073882399615,1.1777307385611255,0.000498613385658391
ENSG00000091073,DTX2,0.03685252802455929,0.24044020116918308,0.5763219000287223,0.031152387519099437,-0.24044020116918308,0.5763219000287223
ENSG00000243566,UPK3B,0.0016022838271547515,-1.738459422593138,0.0016623930901092836,0.005635607792399898,1.738459422593138,0.0016623930901092866
ENSG00000185040,SPDYE16,0.0008011419135773758,0.992946646231168,0.5151700892333041,0.0003130893217999943,-0.992946646231168,0.5151700892333037
ENSG00000146707,POMZP3,0.009213132006139822,-0.8550502603237824,0.020796828088390246,0.016750278716299697,0.8550502603237824,0.020796828088390246
ENSG00000135205,CCDC146,0.0014687601748918555,0.1855917241735625,0.9535516688539569,0.0012523572871999773,-0.1855917241735625,0.9535516688539569
ENSG00000127951,FGL2,0.00013352365226289596,-1.5513738699926432,0.36090323205748354,0.0006261786435999886,1.5513738699926432,0.36090323205748354
ENSG00000186088,GSAP,0.04432985255128146,3.6905009733286853,4.236815238784002e-24,0.0032874378788999405,-3.6905009733286853,4.2368152387839424e-24
ENSG00000273341,AC004921.1,0.00013352365226289596,0.7705542248947186,1.0,0.0,-0.7705542248947186,1.0
ENSG00000127947,PTPN12,0.17037618028745524,0.4488520983750979,0.13385704904349838,0.12476609473729774,-0.4488520983750979,0.13385704904349838
ENSG00000214293,APTR,0.024968922973161545,-0.08424785956534464,0.8955742473907923,0.02645604769209952,0.08424785956534464,0.8955742473907923
ENSG00000187257,RSBN1L,0.1357935543513652,0.35056508295834377,0.27595913181450926,0.10645036941199808,-0.35056508295834377,0.27595913181450915
ENSG00000135211,TMEM60,0.09453474580213034,-0.05442470675739086,0.9342262765919024,0.09815350238429822,0.05442470675739086,0.9342262765919027
ENSG00000006576,PHTF2,0.06502601865203034,-0.8222703935994065,0.0021371922691444506,0.11506032576149791,0.8222703935994065,0.0021371922691444506
ENSG00000232756,AC004990.1,0.0002670473045257919,0.35551672561587466,1.0,0.00015654466089999716,-0.35551672561587466,1.0
ENSG00000187391,MAGI2,0.0002670473045257919,-3.551373869992643,1.799762391242124e-06,0.004539795166099918,3.551373869992643,1.799762391242124e-06
