Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000228839,PIK3IP1-AS1,0.0004129386024205365,1.5665741323326277,0.7164210817347639,0.0,-1.5665741323326277,0.716421081734764
ENSG00000100105,PATZ1,0.026428070554914335,-0.31094186114237665,0.5413049793214658,0.032831576795725806,0.31094186114237665,0.5413049793214658
ENSG00000213888,LINC01521,0.003303508819364292,0.7471463779744489,0.5476475055319678,0.0018820649118568935,-0.7471463779744489,0.5476475055319678
ENSG00000185721,DRG1,0.10674462872570868,-0.0211708090598548,1.0,0.1083232915935412,0.0211708090598548,1.0
ENSG00000184708,EIF4ENIF1,0.019408114313765216,-0.0484456022447084,1.0,0.020075359059806862,0.0484456022447084,1.0
ENSG00000240591,AL096701.3,0.0004129386024205365,1.5665741323326277,0.7496564366510253,0.0,-1.5665741323326277,0.7496564366510255
ENSG00000198089,SFI1,0.022918092434339777,1.0885268355279845,0.008705663793123566,0.010665034500522396,-1.0885268355279845,0.008705663793123566
ENSG00000241878,PISD,0.03778388212147909,0.1922906323841298,0.7142121855528688,0.03304069511926546,-0.1922906323841298,0.7142121855528685
ENSG00000183530,PRR14L,0.09332412414704125,0.8861156343831125,0.0063315462146799496,0.05039751597305681,-0.8861156343831125,0.006331546214679956
ENSG00000100150,DEPDC5,0.018169298506503607,0.9979134439405719,0.023761992309317352,0.008992087912205158,-0.9979134439405719,0.023761992309317352
ENSG00000128245,YWHAH,0.52339967856803,0.1007438271538551,0.8525688542255708,0.48808216714155434,-0.1007438271538551,0.8525688542255708
ENSG00000227519,AL008719.1,0.00020646930121026824,0.9816116316114716,1.0,0.0,-0.9816116316114716,1.0
ENSG00000100170,SLC5A1,0.0020646930121026824,1.8560807495276137,0.1358721072298837,0.0004182366470793096,-1.8560807495276137,0.1358721072298837
ENSG00000128253,RFPL2,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000224050,AL008723.1,0.0,-1.6033508691096845,0.4637432404049002,0.0004182366470793096,1.6033508691096845,0.4637432404049002
ENSG00000205853,RFPL3S,0.0004129386024205365,-0.01838836838852842,1.0,0.0004182366470793096,0.01838836838852842,1.0
ENSG00000100220,RTCB,0.14349616434113643,-0.15852764004273334,0.7298773754604259,0.1601846358313756,0.15852764004273334,0.7298773754604259
ENSG00000184459,BPIFC,0.00020646930121026824,-0.6033508691096845,0.8025858533611496,0.0004182366470793096,0.6033508691096845,0.8025858533611494
ENSG00000100225,FBXO7,0.11727456308743237,-0.32962789935312653,0.4099368479609811,0.14742841809545665,0.32962789935312653,0.4099368479609811
ENSG00000100234,TIMP3,0.011975219470195558,-3.7486138163177274,6.5128704104307205e-31,0.16353052900801007,3.7486138163177274,6.5128704104307205e-31
ENSG00000228622,Z82198.1,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000231253,LINC01640,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000133424,LARGE1,0.008671710650831266,0.3634822669551161,0.6606583660627527,0.006691786353268954,-0.3634822669551161,0.6606583660627534
ENSG00000273082,Z73429.1,0.0006194079036308047,0.9816116316114716,0.8048545291854239,0.0002091183235396548,-0.9816116316114716,0.8048545291854239
ENSG00000175329,ISX,0.0006194079036308047,1.9816116316114716,0.5941691162418973,0.0,-1.9816116316114716,0.5941691162418977
ENSG00000100281,HMGXB4,0.08320712838773811,-0.1643079068200506,0.7287310462191889,0.09326677229868605,0.1643079068200506,0.7287310462191889
ENSG00000100284,TOM1,0.014865789687139315,0.06291173371332004,0.9896483287562937,0.014220046000696528,-0.06291173371332004,0.9896483287562937
ENSG00000282602,Z82244.2,0.00020646930121026824,-0.01838836838852842,1.0,0.0002091183235396548,0.01838836838852842,1.0
ENSG00000100292,HMOX1,0.05285614110982867,0.8787117240271805,0.012915605640408041,0.02864921032493271,-0.8787117240271805,0.012915605640408041
ENSG00000100297,MCM5,0.11231929985838593,0.6580961222515884,0.050714519888912735,0.07110023000348265,-0.6580961222515884,0.050714519888912735
ENSG00000100302,RASD2,0.0,-3.34031646327589,0.011112541823150099,0.0018820649118568935,3.34031646327589,0.011112541823150099
ENSG00000198125,MB,0.00020646930121026824,-0.6033508691096845,0.8025858533611496,0.0004182366470793096,0.6033508691096845,0.8025858533611494
ENSG00000221963,APOL6,0.09745351017124662,2.021817954006492,1.7719328038331998e-10,0.02383948888352065,-2.021817954006492,1.7719328038331998e-10
ENSG00000228587,AL049748.1,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000128313,APOL5,0.0004129386024205365,1.5665741323326277,0.7886029134995561,0.0,-1.5665741323326277,0.7886029134995561
ENSG00000100320,RBFOX2,0.09002061532767695,0.08421611684582331,0.9062114615699303,0.08490203935709986,-0.08421611684582331,0.9062114615699303
ENSG00000279652,Z82217.1,0.01548519759077012,0.9076110501676959,0.06854427665231343,0.008155614618046538,-0.9076110501676959,0.06854427665231343
ENSG00000128284,APOL3,0.000825877204841073,-1.0183883683885284,0.40060554477576815,0.0018820649118568935,1.0183883683885284,0.40060554477576815
ENSG00000100336,APOL4,0.00020646930121026824,0.9816116316114716,1.0,0.0,-0.9816116316114716,1.0
ENSG00000128335,APOL2,0.03613212771179694,0.10119324736414459,0.9029927328799995,0.033668050089884424,-0.10119324736414459,0.9029927328800003
ENSG00000100342,APOL1,0.04790087788078223,1.8916014658788773,6.124962614678685e-08,0.012756217735918944,-1.8916014658788773,6.124962614678685e-08
ENSG00000100345,MYH9,0.29628344723673494,0.2527058072392179,0.5484930540948384,0.24864168668864958,-0.2527058072392179,0.5484930540948384
ENSG00000223695,FO393418.1,0.0006194079036308047,0.9816116316114716,0.8048545291854239,0.0002091183235396548,-0.9816116316114716,0.8048545291854239
ENSG00000228719,AL022313.2,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000100348,TXN2,0.17591184463114856,0.2854716625415037,0.4825030082234285,0.14429164324236182,-0.2854716625415037,0.4825030082234285
ENSG00000100350,FOXRED2,0.10364758920755467,0.8370851486934923,0.010214054278366906,0.057925775620484385,-0.8370851486934923,0.010214054278366906
ENSG00000100353,EIF3D,0.25726074930799425,-0.049292180815158515,0.9807983540173931,0.26620762586598057,0.049292180815158515,0.9807983540175309
ENSG00000229971,AL022313.3,0.0,-2.34031646327589,0.17236084991633144,0.0008364732941586192,2.34031646327589,0.17236084991633144
ENSG00000100360,IFT27,0.019408114313765216,-0.6964602735011658,0.0836471511381068,0.03157686685448788,0.6964602735011658,0.0836471511381068
ENSG00000100362,PVALB,0.0,-2.6033508691096845,0.10091425106487054,0.001045591617698274,2.6033508691096845,0.10091425106487054
ENSG00000100365,NCF4,0.0,-2.0183883683885284,0.2877099285006795,0.0006273549706189644,2.0183883683885284,0.2877099285006796
ENSG00000100368,CSF2RB,0.00020646930121026824,-0.6033508691096845,0.8025858533611496,0.0004182366470793096,0.6033508691096845,0.8025858533611494
ENSG00000128311,TST,0.1905711650170776,1.6239073073985804,2.8348340033297086e-08,0.061689905444198175,-1.6239073073985804,2.8348340033297086e-08
ENSG00000128309,MPST,0.11004813754507298,0.3840960805472311,0.32097569222436473,0.08427468438648089,-0.3840960805472311,0.32097569222436473
ENSG00000100379,KCTD17,0.009084649253251803,-1.0656940831668846,0.014511297768260597,0.019238885765648243,1.0656940831668846,0.014511297768260583
ENSG00000187045,TMPRSS6,0.00020646930121026824,-0.01838836838852842,1.0,0.0002091183235396548,0.01838836838852842,1.0
ENSG00000100385,IL2RB,0.00020646930121026824,-1.6033508691096845,0.33263837387962986,0.001045591617698274,1.6033508691096845,0.33263837387962975
ENSG00000133466,C1QTNF6,0.003922916722995097,0.13361472505652205,1.0,0.003555011500174132,-0.13361472505652205,1.0
ENSG00000278195,SSTR3,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000128340,RAC2,0.03757741282026882,0.3887870131173452,0.40468302841059645,0.02864921032493271,-0.3887870131173452,0.40468302841059683
ENSG00000100055,CYTH4,0.000825877204841073,2.3035397264988333,0.450040324241174,0.0,-2.3035397264988333,0.45004032424117424
ENSG00000166897,ELFN2,0.001651754409682146,-1.4334258676673723,0.05001836378851393,0.004809721441412061,1.4334258676673723,0.05001836378851393
ENSG00000100060,MFNG,0.002271162313312951,-0.13386558580846497,0.9844033473368226,0.0025094198824758577,0.13386558580846497,0.9844033473368226
